,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count,,
3,12/3/2019 12:14,Forget #Messi...@danielmarven is the real 🐐 #GOAT @pmcafrica #PechéAfrica https://t.co/Ttahp3Un0O,pmcafrica,"[u'Messi', u'GOAT', u'Pech\xe9Africa']",31191,36271,,neg
9,12/3/2019 12:13,Okay Adding Yasir Shah To The List 😂  #MESSIX #Messi https://t.co/onY7jaTNK4,khushikadri,"[u'MESSIX', u'Messi']",14594,15019,,pos
12,12/3/2019 12:13,The Fastest Way to Lose Belly Fat  https://t.co/qCDRHM90uA  #BlackWidow Opay Piers Vodacom Ronaldo Modric GOAT #BallonDor iPhone 6 Daura Keyamo Drogba #NewProfilePic #BallonDor2019 #TuesdayMotivation #TuesdayThoughts #TuesdayMorning #tuesdayvibes #MESSI,naija_gym,"[u'BlackWidow', u'BallonDor', u'NewProfilePic', u'BallonDor2019', u'TuesdayMotivation', u'TuesdayThoughts', u'TuesdayMorning', u'tuesdayvibes', u'MESSI']",13229,14312,,pos
14,12/3/2019 12:13,The closest Ballon d'Or vote this century:  🥇Lionel Messi: 24.4% 🥈Virgil van Dijk: 24.1%  What a race!  #BallonDor #BallonDor2019 #Messi #VVD https://t.co/vD70Qh8J2v,Sportingbet_com,"[u'BallonDor', u'BallonDor2019', u'Messi', u'VVD']",26943,13567,,pos
16,12/3/2019 12:11,@WeAreMessi @imessi @LeoMessiFanClub @TeamMessi @fundacionmessi @fcbarcelona_tr @fcbarcelona_id @fcbarcelona_br @fcbarcelona_ara @FCBarcelona_cat 🌟 Leo #Messi im #TeamOfTheYear 2019❓🤗  Voting 👉 https://t.co/XMO9mFiY4w https://t.co/QpfQnYQwz2,UEFAcom_de,"[u'Messi', u'TeamOfTheYear']",54512,55413,,neg
20,12/3/2019 12:10,"Unpopular Opinion  Winning Champions League and World Cup does not make you deserve Balon D'or. Have you asked yourself why the follow players won it  Michael Owen Shevchenko Pavel Nedved    Zidane, Ronaldo doesn't have 3 each even as they won 3 World best ???  #Messi #Thread",checkola26,"[u'Messi', u'Thread']",2156,2819,,neg
27,12/3/2019 12:08,Ronaldo fans should realize that the highest praise to say of Ronaldo is that he was the only player who got close to challenging Messi at the pinnacle of football #Messi #Ronaldo,Dan_the_Bank,"[u'Messi', u'Ronaldo']",3734,7892,,neg
32,12/3/2019 12:06,Twitter have given Messi the goat emoji for his hashtag. 😳🔥🔥  #Messi,FUTJack__,[u'Messi'],10547,11029,,pos
35,12/3/2019 12:05,MESSI POTM IS ACTUALLY A THING.   He’s been included in the nominees...along with Morata &amp; Benzema.   Could it? 👀🤔  #FIFA20 #LaLiga #Messi #POTM,FUTJack__,"[u'FIFA20', u'LaLiga', u'Messi', u'POTM']",10547,46271,,pos
36,12/3/2019 12:04,"New post in ""La voz en español""!  Listen to the voice of the former president #MarianoRajoy and practice your comprehension.  Click link and practice.  https://t.co/enTZxgKzYG  #PracticaEspañol #LearnSpanish #ELE #RealMadrid #Messi @realmadrid @realmadrid__fa",practicaespanol,"[u'MarianoRajoy', u'PracticaEspa\xf1ol', u'LearnSpanish', u'ELE', u'RealMadrid', u'Messi']",5559,7829,,pos
38,12/3/2019 12:04,#Messi #BallonDOr #MessiBalonDeOro #LionelMessi  The Argentine footballer Lionel Messi wins a record-breaking sixth Ballon d’Or.  https://t.co/DZMQDiXycs,theBAtimes,"[u'Messi', u'BallonDOr', u'MessiBalonDeOro', u'LionelMessi']",3382,2413,,pos
39,12/3/2019 12:03,👦 → 👑 → 👽 → 🐐  The evolution of Leo #Messi https://t.co/LTtGlMjajr,FCBarcelona,[u'Messi'],31315,43567,,pos
48,12/3/2019 12:01,Türkiye’nin #BallonDor ’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/V76vtaASoI,DeportesReports,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",23717,24251,,pos
49,12/3/2019 12:00,"If you are not watching the 6 time #Ballond’Or winner play week in and week out, then you definitely got to #MakeLifeBetter!  Stream all #FCB matches on @FacebookWatch with India’s fastest internet up to 1 Gbps speed: https://t.co/tcSPPFlKjT #Messi #MessiBallonDor2019 #MESSIX https://t.co/359j02OLq5",OnSpectra,"[u'Ballond', u'MakeLifeBetter', u'FCB', u'Messi', u'MessiBallonDor2019', u'MESSIX']",4221,4390,,neg
50,12/3/2019 12:00,"Some great memories in there...  #Messi, Owen &amp; Co. - all #ballondor winners since 1990 📸➡️ https://t.co/yGCQ2QKiqA  #LFC #Barca #BallonDor2019 https://t.co/58TGfuYdmf",TMuk_news,"[u'Messi', u'ballondor', u'LFC', u'Barca', u'BallonDor2019']",30287,32456,,pos
51,12/3/2019 11:59,Poor man @Cristiano really thought this long texts &amp; list would hand him individual awards 🤣  UEFA Awards ❌ FIFA Awards ❌ Ballon d'or ❌  #Messi beaten this guy with his individual brilliance makes this #BallonDor award very special out of all he won 👑 Phenomenon 🙏 https://t.co/2zvAxeNouv,AjithSadha,"[u'Messi', u'BallonDor']",19841,18273,,neg
63,12/3/2019 11:55,Last night Ballon d'Or won Messi for a record sixth time🐐  And you know where to watch him.  #uefachampionsleague only on SONY TEN 2. . . #messi  #ballondor #ballondor2019 #goat  #SonaManaHai  #SonySports https://t.co/FGvhURJfeX,SPNSportsIndia,"[u'uefachampionsleague', u'messi', u'ballondor', u'ballondor2019', u'goat', u'SonaManaHai', u'SonySports']",20193,28743,,pos
68,12/3/2019 11:52,Aww! Muslim UNIABUJA SUG President Proposes To Christian Girlfriend On Signing Out (Photo) https://t.co/zX9zuUi0ol  #TachaThanksUtvGhana #Messi #Ronaldo #BallonDor2019 #BallonDor #EverythingTacha #leomessi #TwitterMomentOfTheDecade,Dammysnew,"[u'TachaThanksUtvGhana', u'Messi', u'Ronaldo', u'BallonDor2019', u'BallonDor', u'EverythingTacha', u'leomessi', u'TwitterMomentOfTheDecade']",3848,3526,,neg
69,12/3/2019 11:52,"I don’t really have time to waste arguing with Ronaldo fans.  We’re arguing before because both have same #BallonDor, and now King Leo is on another level. Can’t you people have some sense. #Messi isn’t your mate, he’s the real GOAT 🐐",aminuyaro_,"[u'BallonDor', u'Messi']",3149,3627,,neg
70,12/3/2019 11:52,Türkiye’nin #BallonDor’daki tercihleri;  1️⃣ #VanDijk 2️⃣ #Ronaldo 3️⃣ #Mbappe 4️⃣ #Salah 5️⃣ #Messi https://t.co/ZDDwE8vxTl,yenisafakspor,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Mbappe', u'Salah', u'Messi']",88828,81739,,pos
71,12/3/2019 11:51,"#Messi was placed 5th in last year's Ballon d'or, but we didn't see Antonella or his sisters say Ronaldo is an ogboni member or cry like bush babies. I Stan a Mentally Healthy family 😍 https://t.co/LL9byVhULO",staconzy16,[u'Messi'],6778,7627,,neg
72,12/3/2019 11:51,Graphic: Police officer allegedly shoots truck driver dead for refusing to hand him N100 bribe in Ondo https://t.co/g1sPUlyKf6  #TachaThanksUtvGhana #Messi #Ronaldo #BallonDor2019 #BallonDor #EverythingTacha #leomessi #TwitterMomentOfTheDecade,Dammysnew,"[u'TachaThanksUtvGhana', u'Messi', u'Ronaldo', u'BallonDor2019', u'BallonDor', u'EverythingTacha', u'leomessi', u'TwitterMomentOfTheDecade']",3848,4728,,neg
73,12/3/2019 11:50,I call on President Buhari to show support for Anthony Joshua as he puts Nigeria on the world stage against Ruiz – Ben Bruce https://t.co/cKWZEWwxs8  #TachaThanksUtvGhana #Messi #Ronaldo #BallonDor2019 #BallonDor #EverythingTacha #leomessi #TwitterMomentOfTheDecade,Dammysnew,"[u'TachaThanksUtvGhana', u'Messi', u'Ronaldo', u'BallonDor2019', u'BallonDor', u'EverythingTacha', u'leomessi', u'TwitterMomentOfTheDecade']",3848,3209,,pos
76,12/3/2019 11:50,Lionel Messi now has the most number of Ballon d'Ors   #Messi  #BallonDor2019 #LionelMessi #6thballonDor  https://t.co/P72nKZtTsq,JioNews,"[u'Messi', u'BallonDor2019', u'LionelMessi', u'6thballonDor']",12342,12839,,pos
78,12/3/2019 11:49,Just wanted to see the goat #Messi,LegoMessi10,[u'Messi'],1877,5163,,pos
84,12/3/2019 11:47,"""It's his sixth Ballon d'Or. It's Messi."" ENOUGH SAID! 💪⚽  Here's how @LFC ace @VirgilvDijk reacted to Lionel Messi winning the #BallondOr2019! 🏆🔥💯  #BallondOr #Messi #vanDijk https://t.co/TafOu3BMRE",FOXSportsAsia,"[u'BallondOr2019', u'BallondOr', u'Messi', u'vanDijk']",5810,6728,,pos
86,12/3/2019 11:47,"With due respect, but i think you do  not understand how Ballon D’or works. It is awarded based on votes from international journalists, national team coaches and captains. It does not matter who wins anything. It is strictly based on these votes.  #BallonDor  #Messi  #Ronaldo https://t.co/DvJCL0bLGh",perplexed_ustaz,"[u'BallonDor', u'Messi', u'Ronaldo']",6479,7181,,neg
87,12/3/2019 11:47,"Like @realDonaldTrump has a @POTUS44 fixation, you have an intense jealousy of #Messi. He is the #GOAT. https://t.co/1QY0JGro2B",LindsayBiz,"[u'Messi', u'GOAT']",10292,17384,,pos
95,12/3/2019 11:45,This life ... Take a look at yourself. #MESSIX #Messi https://t.co/MmW7hYfNz2,LilSWAGGUN,"[u'MESSIX', u'Messi']",5085,4728,,pos
96,12/3/2019 11:45,Does Lionel Messi deserve the sixth Ballon D’Or https://t.co/u72zdSRfro via @thecableng by @OmeikeSunday #Messi,thecableng,[u'Messi'],31451,42812,,pos
